Name of Firm,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,E-mail Address,CAGE Code,Congr. Dist.,County Code,UEI,E-Mall Page URL,Fax Number,Fiscal Year Ends,In TECH-Net?,Incorp. Country,Incorp. State,Last Updated,Main/Branch,Metro Stat Area,Phone Number,Trade Name,WWW Page URL,Year Established,Legal Structure,"Business Type (Service, Construction, etc)","Ownership/Self-Certs (Minority, Veteran, Woman, etc)","NAICS, All (for which firm is small)","NAICS, Buy Green and Small","NAICS, Primary and Small",FullAddress,ZipOnly
TRUE BALANCING LLC,CLINT O'CONNER,,760 MUNEVAR RD,,CARDIFF BY THE SEA,CA,92007-1331,,clint@truebalancing.com,9XT23,49,073,SJK8TTWWEL24,,,1231,,USA,CA,06/26/2024,Branch,7320,760-613-6351,,www.truebalancing.com,2022,LL,,,335999,,,"760 MUNEVAR RD, , CARDIFF BY THE SEA, CA 92007-1331",92007
"PHAIR, CARRIE",CARRIE PHAIR,,2565 MONTGOMERY AVE,,CARDIFF BY THE SEA,CA,92007-2107,,carrie@statedmarketing.com,8FAF6,49,073,EC1NXZTPMTV3,,,1231,,USA,CA,09/27/2024,Branch,7320,831-915-7524,STATED,,2018,SL,,Woman Owned,541613,,,"2565 MONTGOMERY AVE, , CARDIFF BY THE SEA, CA 92007-2107",92007
VOLTQUEST ELECTRIC INC,BRANDON WEIBERG,,1317 CAMINITO SEPTIMO,,CARDIFF BY THE SEA,CA,92007-1012,,brandon@vqelectric.com,0GMQ7,49,073,YSNFR98KPQD5,,,1231,,USA,CA,12/11/2024,Branch,7320,858-500-2068,,,2024,SC,,,238210,,,"1317 CAMINITO SEPTIMO, , CARDIFF BY THE SEA, CA 92007-1012",92007
NGAP INC,VINCENT LUCHENTA,,5256 S MISSION RD STE 210,,BONSALL,CA,92003-3621,"nGAP was created to primarily research innovative software systems in the field of acquisition and acquisition systems. The culmination of this research has created nGAP's agile software platform called 'Open Acquisition System (OAS) Enterprise'. OAS is an web based, configurable, integrator friendly 'end to end procurement management' platform. The OAS platform has a robust set of modules for various aspects of the acquisition life cycle. One such module was designed especially for Department of Defense large weapons platform, such as ships, submarines, and aircraft.  In addition to offering OAS as a commercial off the shelf(COTS)software, nGAP also provides the following services related to Acquisition and Acquisition business systems. A. Systems Analysis B. Rapid System Prototyping C. Business Process Analysis D. Acquisition System Integration Services E. General Acquisition Related Consulting F. Micro service Rapid Prototyping G. Software Engineering Services",vince@ngap.com,50E78,48,073,VNWFGAWTK5Q3,https://www.shopngap.com,,1231,,USA,NV,06/26/2024,Branch,7320,760-477-8721,,https://www.ngap.com,2008,CP,"R and D, Service",,"513210, 518210, 541330, 541330, 541330, 541330, 541511, 541512, 541513, 541519, 541519, 541611, 541715, 541715, 541715, 541715, 611420",,,"5256 S MISSION RD STE 210, , BONSALL, CA 92003-3621",92003
PERRAULT CORPORATION,CHUCK PERRAULT,,30640 N RIVER RD,,BONSALL,CA,92003-7123,"Perrault Corporation Trucking and Materials is a family-owned business founded by Chuck Perrault over 30 years ago in Bonsall, California. Perrault Corporation trucking services will deliver any material you need from their large fleet of trucks, ranging from flat beds to transfer trucks and heavy equipment. Our fleet has the truck for every job as well as a large array of aggregate materials available. We specialize in general construction, demolition/rubble recycling, asphalt paving and construction material supply.",chuckperrault@yahoo.com,561R3,48,073,UJJMBE5LENJ6,https://www.perraultcorporation.com,,0331,,USA,CA,10/25/2024,Branch,7320,619-520-4049,76 MATERIALS,,2001,CP,,,"115310, 115310, 115310, 212312, 212313, 212319, 212321, 212322, 237110, 237130, 237310, 237990, 237990, 238110, 238910, 238990, 238990, 423310, 423320, 423390, 423810, 423930, 484110, 484121, 484122, 484220, 484230, 532412, 532490",,,"30640 N RIVER RD, , BONSALL, CA 92003-7123",92003
INGOLD FAMILY INVESTMENTS LLC,JULIE ROBERTS-PANCRAZI,,5256 S MISSION RD,STE 1210,BONSALL,CA,92003-3624,,julie@pancrazi.com,5UWT1,48,073,GKW4Q4M4RZB6,,928-782-5559,1231,,USA,CA,11/08/2024,Branch,7320,928-782-0000,,,2002,LL,,Self-Certified Small Disadvantaged Business,"531120, 531120",,,"5256 S MISSION RD, STE 1210, BONSALL, CA 92003-3624",92003
VNUIT LLC,PARAMJYOTI KAKILETI,,5425 MISSION RD,,BONSALL,CA,92003-3601,"VNuIT(Versatile and Nucleus in Information Technology) is an SBA 8(a) Certified Small, Women and Minority Owned Business that provides Consulting Services in Digital Transformation, Enterprise Asset Management, Location Intelligence, Geospatial Services, Business Process Automation in Energy & Utilities (Gas, Electric, Water), Government, Healthcare, Insurance and Commercial Industry. Our data-driven solutions provide customers transformational insights into the business process improvements that empowers them in making better decisions. Our services include Develop IT Strategy, Custom Software Programming, System Integration, Mobile Application Development, IT consulting, GIS, IT Security Consulting, Cybersecurity, Cloud Computing, Data Science, Big Data Analytics, IoT, CRM, ERP implementations, Industry specific products implementation & Support, Quality Assurance, IV&V, Data Conversion, Data Maintenance, LiDAR and Training and Professional Services.",pkakileti@vnuit.com,72TW6,48,073,PFGCBNFARXN3,,,1231,,USA,CA,11/21/2024,Branch,7320,760-576-6214,,www.vnuit.com,2012,LL,Service,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","423430, 493110, 518210, 541330, 541330, 541330, 541330, 541370, 541511, 541512, 541513, 541519, 541519, 541611, 541612, 541614, 541618, 541620, 541690, 541990, 561210, 561320, 561410, 561730, 561990, 562112, 611420, 611430",,,"5425 MISSION RD, , BONSALL, CA 92003-3601",92003
"D 3 CONSTRUCTION SERVICES, INC.",CLAUDIA THOMPSON,,7002 VIA MARIPOSA SUR,,BONSALL,CA,92003-5621,"Certified Woman Owned Small Business bringing almost 10 years of industry experience. *temporary construction fencing. Meet all your job sites temporary fencing needs with professional, on-time, on budget services.",crthompson24@gmail.com,82RU3,48,073,EGKPHFFWSHQ3,http://d3constructionservices.com,,1231,,USA,CA,09/03/2024,Branch,7320,760-707-9663,D 3 CONSTRUCTION SERVICES INC,,2018,CP,"Construction, Service",Woman Owned,"236210, 236220, 238290, 238910, 423390, 532412, 561210",,,"7002 VIA MARIPOSA SUR, , BONSALL, CA 92003-5621",92003
NEW CITY CONSULTING INC,PATRICK NOLAN,,31959 VIA ARARAT DR,,BONSALL,CA,92003-4341,"New City specializes in commercial construction projects in the US, offering management services for every phase of a project including property acquisition, planning, permitting, design, and construction. New City also offers Signature Project Management Systems and Solutions. These systems are specifically designed for Contractors and Owners want to take their project organization, management and planning to the next level.",patrick@newcityconsulting.com,8U5D0,48,073,D72JPBM9K6A4,https://www.newcityconsulting.com,,1231,,USA,CA,04/05/2024,Branch,7320,858-254-2949,,newcityconsulting.com,2018,CP,Service,Self-Certified Small Disadvantaged Business,"236116, 236210, 236220, 541611, 541618",,,"31959 VIA ARARAT DR, , BONSALL, CA 92003-4341",92003
"RAYCO CONSTRUCTION ENTERPRISES, LLC",MONIQUE CIMNO,,7065 VIA MARIPOSA SUR,,BONSALL,CA,92003-5622,We specialize and offer full service exterior maintenance and complete renovations to both small and large projects.,monique@raycoexteriors.com,99QC5,48,073,NGWEDBNZ44P7,https://raycoexteriors.com/,,1231,,USA,CA,04/16/2024,Branch,7320,510-789-5143,,https://raycoexteriors.com/,2016,SC,Construction,Self-Certified Small Disadvantaged Business,"238140, 238170, 238190, 238320, 238330, 238990, 238990",,,"7065 VIA MARIPOSA SUR, , BONSALL, CA 92003-5622",92003
COPPER CREST ELECTRIC LLC,CHRISTOPHER JONES,,5285 TRIPLE CROWN DR,,BONSALL,CA,92003-3514,,bowkerbuilders@gmail.com,9WU84,48,073,KPPGVQGEA2D7,,,1231,,USA,CA,05/29/2024,Branch,7320,619-980-5740,,,2024,LL,,"Native American, Self-Certified Small Disadvantaged Business, Woman Owned","237130, 238210",,,"5285 TRIPLE CROWN DR, , BONSALL, CA 92003-3514",92003
"BURGENER STRENGTH, LLC",BEAU BURGENER,,32067 VIA VERA,,BONSALL,CA,92003-3102,,Beau@burgenerstrength.com,9YAC0,48,073,UMKWL6K8GKV7,,,1224,,USA,CA,07/12/2024,Branch,7320,760-972-1585,,,2014,LL,,,611620,,,"32067 VIA VERA, , BONSALL, CA 92003-3102",92003
"HIGHRES, INC.",CHRISTIANN MOORE,,888 PROSPECT ST STE 200,,LA JOLLA,CA,92037-4261,,Christiann@ReverseEngineering.com,1T2N4,50,073,FRSRBZXN9XV4,,,1231,,USA,DE,05/01/2024,Branch,7320,858-488-5231,,https://www.ReverseEngineering.com,1985,CP,,Woman Owned,"334513, 611420, 611430",,,"888 PROSPECT ST STE 200, , LA JOLLA, CA 92037-4261",92037
"ROSENTHAL, BROCK",BROCK ROSENTHAL,,7416 CABRILLO AVE,,LA JOLLA,CA,92037-5201,suppliers of underwater and oceanographic equipment,brock@o-vations.com,1NNQ6,50,073,CGK9TFCTAJZ9,,,1231,,USA,CA,09/28/2024,Branch,7320,858-454-4044,OCEAN INNOVATIONS,www.o-vations.com,1994,SL,,,"237130, 238210, 327212, 331420, 333923, 334417, 334511, 335921, 423410, 541715, 541715, 541715, 541715",,,"7416 CABRILLO AVE, , LA JOLLA, CA 92037-5201",92037
COASTAL ENVIRONMENTS INC,HANY ELWANY,,2166 AVENIDA DE LA PLAYA STE E,,LA JOLLA,CA,92037-3238,"Coastal Environments (CE) is a certified small-business enterprise (SBE) formed in 1988 by Dr. Hany Elwany, a coastal engineer and oceanographer, to provide high-quality environmental consulting services. CE is a unique multidisciplinary oceanographic and engineering consulting firm comprised of more than thirty experienced, independent professionals who work as a team and specialize in a variety of interrelated technical services. This approach increases flexibility and facilitates communication with clients, especially the rapid, close communications required for the timely and successful completion of work. The approach also improves quality and cost-effectiveness.",hany@coastalenvironments.com,3DD71,50,073,H788QM88TJC5,,858-459-0107,1231,,USA,CA,04/27/2024,Branch,7320,858-459-0008,,www.coastalenvironments.com,1988,CP,Service,Other Minority Owned,"541330, 541330, 541330, 541330, 541360, 541620, 541690",,,"2166 AVENIDA DE LA PLAYA STE E, , LA JOLLA, CA 92037-3238",92037
"UNITED SUPPORT SERVICES, INC.",MICHAEL FERNANDEZ,Vice President,3252 HOLIDAY CT,STE 110,LA JOLLA,CA,92037-1807,"United Support Services (USS) is a leading source for C4I tactical networks, IT services, cybersecurity, software development, maritime support, logistics, systems and network engineering, and tactical mission support with proven results and documented exceptional CPARS performance ratings. USS delivers high quality sustainment engineering results, on-site and distant support services, including the full spectrum of design, installation, integration, SOVT/SOT (testing), deployment and support of complex IT tactical requirements. Our certified technical teams are highly trained IAT Level II and Level III supporting ADNS, CANES, PIERS (EPCA), BLII, ORT, ISNS, CENTRIX-M, SCI-N, GCCS-M, CND.",contracts@usscompany.com,3EXE3,50,073,W69MM3ESGPM3,,858-373-9501,1231,,USA,CA,01/22/2025,Branch,7320,858-373-9500,"UNITED SUPPORT SERVICES, INC",https://usscompany.com,2002,SC,"R and D, Service","Hispanic American, Other Minority Owned, Service-Disabled Veteran, Veteran","238210, 334290, 336411, 336413, 336611, 488190, 493110, 512110, 541330, 541330, 541330, 541330, 541370, 541511, 541512, 541513, 541519, 541611, 541614, 541690, 541715, 541715, 541715, 541715, 541990, 561210, 561720, 611512, 611710",,,"3252 HOLIDAY CT, STE 110, LA JOLLA, CA 92037-1807",92037
"AEGIS SOFTWARE, INC",ALAN EDWARDS,President,5669 LA JOLLA HERMOSA AVE,,LA JOLLA,CA,92037-7549,1. Environmental data cloud based storage; 2. Open data science platform,alanedwards@ecodb.com,3HF87,50,073,XFNEZJKJXPL7,http://www.ecodb.com,,1231,,USA,CA,10/29/2024,Branch,7320,858-531-9310,ECODB,http://www.ecodb.org,1995,CP,"R and D, Service",,"541715, 541715, 541715, 541715, 541720, 813312",,,"5669 LA JOLLA HERMOSA AVE, , LA JOLLA, CA 92037-7549",92037
POSITIONING SYSTEMS RESEARCH,STEPHEN FERRARI,President,1220 CAVE ST,APT 4,LA JOLLA,CA,92037-3630,"Positioning Systems Research(PSR)provides Radio Frequency Identification (RFID) system integration for asset, inventory, and file tracking. Research for Real Time Location Systems and security applications. BMC Remedy Action Request System programming",sferrari@psresearch.net,3LLX1,50,073,QSHKH167FE85,,619-752-2702,1231,,USA,CA,10/18/2024,Branch,7320,619-994-6636,PSR,http://www.psresearch.net,2003,SC,Service,,"541330, 541330, 541330, 541330, 541511, 541512, 541513, 541519, 541519, 561320",,,"1220 CAVE ST, APT 4, LA JOLLA, CA 92037-3630",92037
STIEGLER ARCHITECTS P.C.,IONE STIEGLER,Office Manager,5645 LA JOLLA BLVD,,LA JOLLA,CA,92037-7524,IS Architecture is a an award winning firm specializing in new custom residential architecture and the historic restoration/preservation and adaptive reuse of existing structures.,istiegler@isarchitecture.com,3XFJ7,50,073,M9CSL6JZTB65,,858-456-8566,1231,,USA,CA,06/06/2024,Branch,7320,858-456-8555,STIEGLER ARCHITECTS PC,http://www.isarchitecture.com/,1989,CP,Service,Woman Owned,"236118, 541310, 541490, 712120",,,"5645 LA JOLLA BLVD, , LA JOLLA, CA 92037-7524",92037
CAUCHO TECHNOLOGY INC.,ALEXANDRA GARMON,,643 GRAVILLA ST,,LA JOLLA,CA,92037-6154,,garmon@caucho.com,3XQL9,50,073,XKJGRN3LJJ19,,,1231,,USA,CA,10/24/2024,Branch,7320,858-222-0701,CAUCHO TECHNOLOGY INC,http://www.caucho.com/,1999,SC,,,541490,,,"643 GRAVILLA ST, , LA JOLLA, CA 92037-6154",92037
"ECOSYSTEMS MANAGEMENT ASSOCIATES, INC",HANY ELWANY,,2166 AVENIDA DE LA PLAYA STE E,,LA JOLLA,CA,92037-3238,"EcoSystems Management Associates, Inc. (ECO-M) is a multi-disciplinary organization providing specialized, high-quality services in water-related environments. For 40 years, ECO-M has been serving governmental, public, and private clientele in the United States and worldwide. Our personnel are experienced and knowledgeable in all aspects of the oceanographic industry. We have established working relationships with the regulatory agency community and have strong relationships with experts in related fields. Our full service team works together on each project to maximize performance and quality and to ensure timely and cost-efficient project completion. ECO-M provides services in the following fields: Monitoring Programs, Water Dynamics, Water Quality, Geology, Geophysics, & Hydrography, Biology & Ecology, and Cultural Resources/Marine Archaeology.",hany@eco-m.com,1MCM3,50,073,XBBFDCCMARA4,,858-459-0107,0331,,USA,CA,09/06/2024,Branch,7320,858-459-0008,,,1975,CP,,,"541330, 541330, 541330, 541330, 541360, 541620, 541690, 541990, 562910, 562910",,,"2166 AVENIDA DE LA PLAYA STE E, , LA JOLLA, CA 92037-3238",92037
1600 TOLLHOUSE LLC,DAVID CHARLES,,5801 CORRAL WAY,,LA JOLLA,CA,92037-7423,,dcharles@pacbell.net,3X9C5,50,073,CE1UB8SVJKN7,,858-456-7131,1231,,USA,CA,09/18/2024,Branch,7320,858-456-7131,,,2002,LL,,,"531120, 531120",,,"5801 CORRAL WAY, , LA JOLLA, CA 92037-7423",92037
"WWW.SYNTERGY.COM, INC.",DOUG ARTHUR,,6515 EL CAMINO DEL TEATRO,# 387H,LA JOLLA,CA,92037-6337,,darthur@syntergy.com,1N4Y0,50,073,U5ZXGDS7P9B9,,858-459-4471,1231,,USA,CA,10/05/2024,Branch,7320,310-415-3687,,http://www.syntergy.com,1997,SC,,,"513210, 541511",,,"6515 EL CAMINO DEL TEATRO, # 387H, LA JOLLA, CA 92037-6337",92037
"INTERNATIONAL FINANCIAL CONSULTING, INC.",THOMAS HOWELL,,5468 SOLEDAD RD,,LA JOLLA,CA,92037-7042,,tomh08@me.com,3QUB1,50,073,MNELFCN32S98,,,1231,,USA,CA,01/15/2025,Branch,7320,858-336-9549,INTERNATIONAL FINANCIAL CONSULTING INC,,1998,SC,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","522210, 522291, 522310, 522320, 522390, 541611, 541614, 541618",,,"5468 SOLEDAD RD, , LA JOLLA, CA 92037-7042",92037
"GAIA MEDICAL INSTITUTE, INC.",SARKA SOUTHERN,,505 COAST BLVD S STE 104,,LA JOLLA,CA,92037-4614,"Biotechnology research and development. Medical device, biomarkers. Immuno-histochemical assays, western blot, Elisa. Physiology, dehydration, AIDS, TBI research fields.",ssouthern@gaiamedical.com,47L81,50,073,H95RP93WA9V5,http://www.gaiamedical.com,,1231,,USA,DE,11/21/2024,Branch,7320,858-245-8276,GAIA MEDICAL INSTITUTE,http://www.gaiamedical.com,2004,CP,R and D,Woman Owned,"541690, 541714, 541990",,,"505 COAST BLVD S STE 104, , LA JOLLA, CA 92037-4614",92037
INTRINSIC LIFESCIENCES LLC,EILEEN WESTERMAN,,505 COAST BLVD S,STE 408,LA JOLLA,CA,92037-4613,,ewesterman@intrinsiclifesciences.com,4CDV0,50,073,LZD4PJ2JPLA1,,858-459-3794,1231,,USA,CA,07/19/2024,Branch,7320,858-459-1758,INTRINSIC LIFESCIENCES,http://www.intrinsiclifesciences.com,2006,LL,,"Self-Certified Small Disadvantaged Business, Woman Owned",621511,,,"505 COAST BLVD S, STE 408, LA JOLLA, CA 92037-4613",92037
BELLAMARE LLC,CHARLES COUSIN,,6491 CAMINITO ARONIMINK,,LA JOLLA,CA,92037-5801,,charlescousin@bellamare-us.com,7GFU1,50,073,EX6LJDC93NJ9,,,1231,,USA,DE,02/13/2025,Branch,7320,858-578-8108,,www.bellamare-us.com,2005,LL,,,"541330, 541330, 541330, 541330",,,"6491 CAMINITO ARONIMINK, , LA JOLLA, CA 92037-5801",92037
NEW CENTURY TECHNOLOGIES INC.,LYNN XA,,4225 EXECUTIVE SQ,STE 600,LA JOLLA,CA,92037-1484,"Distributing an array of ink/toner cartridges, office supplies,technology products, hardware products,related services,and industrial hardware,and tools, 8(a) staffing teaming, media storage, compatible toner, office furniture, office chairs, video Surveillance, networking and security solutions, office appliances, televisions, monitors",tammy@nctsolution.com,4J7L8,50,073,MNS9F23M7C35,http://www.nctsolution.com,866-237-5403,1231,,USA,CA,10/23/2024,Branch,7320,800-457-4313,NEW CENTURY TECHNOLOGIES INC,http://www.nctsolution.com,2006,SC,,"Asian Pacific American, Self-Certified Small Disadvantaged Business, Woman Owned","311999, 315990, 322230, 322291, 322299, 325611, 325612, 332510, 333248, 333415, 333924, 334111, 334112, 334118, 334220, 334290, 334310, 337127, 337211, 337214, 337215, 339112, 339114, 339920, 339940, 339994, 444140, 513210, 541519, 541519, 541612, 561110, 811210",,,"4225 EXECUTIVE SQ, STE 600, LA JOLLA, CA 92037-1484",92037
"MC2 PRODUCTION SERVICES, LLC",MICHELLE STYS,,2840 PALOMINO CIR,,LA JOLLA,CA,92037-7066,"mc2 production services is a nationally certified WBE that specializes in turnkey event management, meetings and shows, event production and incentive trips for clients and their agencies.",mstys@mc2productionservices.com,4Z7A6,50,073,VNFGVE3U61Q3,,,1231,,USA,CA,11/21/2024,Branch,7320,810-841-5453,MC2 PRODUCTION SERVICES LLC,mc2productionservices.com,2005,LL,Service,"Self-Certified Small Disadvantaged Business, Woman Owned","541613, 561920",,,"2840 PALOMINO CIR, , LA JOLLA, CA 92037-7066",92037
"SQUID WORKS, INC.",BILL BURNS,,4180 LA JOLLA VILLAGE DR,STE 270,LA JOLLA,CA,92037-9142,,bill.burns@squidworks.ink,56MS8,50,073,PEQJZ5RZEEJ3,,,1231,,USA,CA,09/21/2024,Branch,7320,619-247-9073,SQUID WORKS INC,http://www.squidworks.ink,2006,SC,,,"541310, 541330, 541330, 541330, 541330, 541340, 541420, 541490, 541613, 541690, 541715, 541715, 541715, 541715",,,"4180 LA JOLLA VILLAGE DR, STE 270, LA JOLLA, CA 92037-9142",92037
"CULTURE CHANGE CONSULTANTS, INC.",MANDY HICKS,,1540 BLUEBIRD LN,,LA JOLLA,CA,92037-3858,,mandyhicks@culturechange.com,572U9,50,073,NLYYUPF3Q7D3,,,0630,,USA,NY,01/03/2025,Branch,7320,914-282-4233,,http://www.culture-change.com,1999,CP,,,541690,,,"1540 BLUEBIRD LN, , LA JOLLA, CA 92037-3858",92037
"ADVANTECH GS ENTERPRISES, INC.",KARA FRASER,,8950 VILLA LA JOLLA DR,STE A109,LA JOLLA,CA,92037-1706,"Engineering, program & construction management, environmental, inspection, business management, life cycle analysis, acquisition. Knowledge management platforms,cyberwarfare analysis. Founded by a retired RADM & another former Naval officer.",kcfraser@agse.us,57AP2,50,073,ZFEGB46KKWH8,,,0831,,USA,CA,12/24/2024,Branch,7320,858-832-8127,,http://agse.us,2008,CP,Service,"Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran, Woman Owned","541310, 541330, 541330, 541330, 541330, 541512, 541513, 541519, 541519, 541611, 541618, 541620, 541690, 541715, 541715, 541715, 541715, 541990, 561110, 561210, 561320",,,"8950 VILLA LA JOLLA DR, STE A109, LA JOLLA, CA 92037-1706",92037
"TIGER PARK, LLC",WARREN HEENAN,,7951 LA JOTA WAY,,LA JOLLA,CA,92037-3325,,wbheenan@gmail.com,5DTP6,50,073,DARNHJ5K2GK4,,858-459-0304,1231,,USA,WY,08/21/2024,Branch,7320,858-752-2367,TIGER PARK,,2009,LL,,Self-Certified Small Disadvantaged Business,"531120, 531120",,,"7951 LA JOTA WAY, , LA JOLLA, CA 92037-3325",92037
EMERGING GROWTH ENTERPRISE LLC,KAARE HOLM,,1542 ALTA LA JOLLA DR,,LA JOLLA,CA,92037-7145,"Bring advanced technologies to market through market studies, partnering and licensing. Provide foam testing equipment for ARFF fire vehicles in airports",kaare@nofoamsystem.com,5FGC8,50,073,QM6BMC169648,http://www.nofoamsystem.com,,1231,,USA,CA,09/07/2024,Branch,7320,619-886-4223,,www.nofoamsystem.com,2002,LL,"Manufacturing, Service","Other Minority Owned, Self-Certified Small Disadvantaged Business, Woman Owned","541611, 541690",,,"1542 ALTA LA JOLLA DR, , LA JOLLA, CA 92037-7145",92037
"KINSEY, JAMES",JAMES KINSEY,,5371 CALUMET AVE,,LA JOLLA,CA,92037-7906,,kinseyland@aol.com,60CG1,50,073,HHCGY1AHLKH7,,858-230-7210,1231,,USA,CA,07/04/2024,Branch,7320,858-230-7021,,,2005,SL,,,"531110, 531110",,,"5371 CALUMET AVE, , LA JOLLA, CA 92037-7906",92037
GLOBE LAND LLC,WARREN HEENAN,,7951 LA JOTA WAY,,LA JOLLA,CA,92037-3325,,wbheenan@gmail.com,628C0,50,073,CKAGK8NPEM69,,858-459-0304,1231,,USA,AZ,08/20/2024,Branch,7320,858-752-2367,,,2010,LL,,,"531120, 531120",,,"7951 LA JOTA WAY, , LA JOLLA, CA 92037-3325",92037
